county,max_bundle_price
Anglesey,£99.75
Bedfordshire,£99.75
Berkshire,£99.75
Brecknockshire,£99.75
Buckinghamshire,£99.75
Cambridgeshire,£99.75
Cardiganshire,£99.75
Carmarthenshire,£99.75
Carnarvonshire,£99.75
Channel,£99.75
Cheshire,£149.75
Cornwall,£149.75
Cumberland,£149.75
Denbighshire,£99.75
Derbyshire,£149.75
Devon,£149.75
Dorset,£99.75
Durham,£149.75
Essex,£149.75
Flintshire,£99.75
Glamorganshire,£149.75
Gloucestershire,£149.75
Hampshire,£149.75
Herefordshire,£99.75
Hertfordshire,£99.75
Huntingdonshire,£99.75
Isle,£99.75
Kent,£149.75
Lancashire,£199.75
Leicestershire,£149.75
Lincolnshire,£149.75
London,£169.75
Merionethshire,£99.75
Middlesex,£149.75
Monmouthshire,£149.75
Montgomeryshire,£99.75
Norfolk,£149.75
Northamptonshire,£149.75
Northumberland,£149.75
Nottinghamshire,£149.75
Oxfordshire,£99.75
Pembrokeshire,£99.75
Radnorshire,£99.75
Shropshire,£149.75
Somerset,£149.75
Staffordshire,£149.75
Suffolk,£149.75
Surrey,£149.75
Sussex,£149.75
Warwickshire,£149.75
Westmorland,£99.75
Wiltshire,£99.75
Worcestershire,£149.75
Yorkshire,£199.75
,
Total Counties,54
Sum of Max Prices,£7006.50
